time	V(n001)	V(n002)
3.557604401134743e-003	1.486650e-001	9.552418e-010
3.567370026134743e-003	1.015700e-001	2.053955e-010
3.577135651134742e-003	6.303624e-002	8.278365e-011
3.586901276134742e-003	3.343101e-002	3.959523e-011
3.596666901134742e-003	1.303637e-002	1.629749e-011
3.606432526134742e-003	2.046678e-003	4.572126e-012
3.616198151134742e-003	5.666461e-004	3.018206e-012
3.625963776134741e-003	8.610381e-003	1.152431e-011
3.635729401134741e-003	2.610123e-002	3.088366e-011
3.645495026134741e-003	5.287253e-002	6.577564e-011
3.655260651134741e-003	8.866916e-002	1.474092e-010
3.665026276134741e-003	1.331500e-001	5.405598e-010
3.674791901134740e-003	1.858912e-001	4.163067e-009
3.684557526134740e-003	2.463902e-001	5.409646e-008
3.694323151134740e-003	3.140705e-001	9.245667e-007
3.704088776134740e-003	3.882871e-001	1.991616e-005
3.713854401134740e-003	4.683328e-001	4.943897e-004
3.723620026134739e-003	5.534449e-001	7.005285e-003
3.733385651134739e-003	6.428122e-001	3.378745e-002
3.743151276134739e-003	7.355832e-001	8.921403e-002
3.752916901134739e-003	8.308740e-001	1.649850e-001
3.762682526134739e-003	9.277763e-001	2.499117e-001
3.772448151134738e-003	1.025367e+000	3.389492e-001
3.801745026134738e-003	1.312989e+000	6.103985e-001
3.821276276134737e-003	1.491360e+000	7.818676e-001
3.831041901134737e-003	1.573938e+000	8.617085e-001
3.840807526134737e-003	1.651047e+000	9.364614e-001
3.850573151134737e-003	1.721952e+000	1.005345e+000
3.860338776134736e-003	1.785978e+000	1.067649e+000
3.870104401134736e-003	1.842513e+000	1.122737e+000
3.879870026134736e-003	1.891021e+000	1.170052e+000
3.889635651134736e-003	1.931037e+000	1.209116e+000
3.899401276134736e-003	1.962182e+000	1.239538e+000
3.909166901134736e-003	1.984157e+000	1.261014e+000
3.918932526134736e-003	1.996755e+000	1.273328e+000
3.928698151134735e-003	1.999854e+000	1.276358e+000
3.938463776134735e-003	1.993426e+000	1.270073e+000
3.948229401134735e-003	1.977531e+000	1.254537e+000
3.957995026134735e-003	1.952321e+000	1.229905e+000
3.967760651134735e-003	1.918036e+000	1.196421e+000
3.977526276134734e-003	1.875003e+000	1.154423e+000
3.987291901134734e-003	1.823632e+000	1.104332e+000
3.997057526134734e-003	1.764412e+000	1.046653e+000
4.006823151134734e-003	1.697909e+000	9.819730e-001
4.016588776134734e-003	1.624754e+000	9.109533e-001
4.026354401134733e-003	1.545647e+000	8.343296e-001
4.036120026134733e-003	1.461339e+000	7.529082e-001
4.055651276134733e-003	1.280382e+000	5.792536e-001
4.084948151134732e-003	9.912231e-001	3.075637e-001
4.094713776134732e-003	8.937676e-001	2.195565e-001
4.104479401134732e-003	7.973244e-001	1.370007e-001
4.114245026134731e-003	7.028124e-001	6.685031e-002
4.124010651134731e-003	6.111325e-001	2.112381e-002
4.133776276134731e-003	5.231581e-001	3.213435e-003
4.143541901134731e-003	4.397277e-001	1.610425e-004
4.153307526134731e-003	3.616362e-001	6.647560e-006
4.163073151134730e-003	2.896277e-001	3.333806e-007
4.172838776134730e-003	2.243885e-001	2.146084e-008
4.182604401134730e-003	1.665403e-001	1.913682e-009
4.192370026134730e-003	1.166342e-001	3.169219e-010
4.202135651134730e-003	7.514582e-002	1.081662e-010
4.211901276134729e-003	4.247056e-002	5.108093e-011
4.221666901134729e-003	1.891975e-002	2.276079e-011
4.231432526134729e-003	4.717831e-003	7.388700e-012
4.241198151134729e-003	1.155304e-007	2.347887e-012
4.250653131606650e-003	4.512000e-003	7.091912e-012
4.260418756606650e-003	1.850672e-002	2.229404e-011
4.270184381606650e-003	4.185426e-002	5.022137e-011
4.279950006606650e-003	7.433213e-002	1.059842e-010
4.289715631606649e-003	1.156308e-001	3.056394e-010
4.299481256606649e-003	1.653568e-001	1.809221e-009
4.309246881606649e-003	2.230363e-001	2.024613e-008
4.319012506606649e-003	2.881196e-001	3.129883e-007
4.328778131606649e-003	3.599865e-001	6.209789e-006
4.338543756606648e-003	4.379522e-001	1.499964e-004
4.348309381606648e-003	5.212737e-001	3.042060e-003
4.358075006606648e-003	6.091571e-001	2.045748e-002
4.367840631606648e-003	7.007650e-001	6.554783e-002
4.377606256606647e-003	7.952242e-001	1.353001e-001
4.387371881606647e-003	8.916349e-001	2.176426e-001
4.397137506606647e-003	9.890781e-001	3.054778e-001
4.426434381606646e-003	1.278322e+000	5.772761e-001
4.445965631606646e-003	1.459435e+000	7.510690e-001
4.455731256606646e-003	1.543848e+000	8.325875e-001
4.465496881606646e-003	1.623078e+000	9.093263e-001
4.475262506606645e-003	1.696371e+000	9.804778e-001
4.485028131606645e-003	1.763028e+000	1.045305e+000
4.494793756606645e-003	1.822413e+000	1.103144e+000
4.504559381606645e-003	1.873962e+000	1.153408e+000
4.514325006606645e-003	1.917183e+000	1.195589e+000
4.524090631606644e-003	1.951664e+000	1.229263e+000
4.533856256606644e-003	1.977076e+000	1.254093e+000
4.543621881606644e-003	1.993178e+000	1.269831e+000
4.553387506606644e-003	1.999815e+000	1.276320e+000
4.563153131606644e-003	1.996925e+000	1.273494e+000
4.572918756606643e-003	1.984535e+000	1.261383e+000
4.582684381606643e-003	1.962764e+000	1.240107e+000
4.592450006606643e-003	1.931818e+000	1.209879e+000
4.602215631606643e-003	1.891992e+000	1.171000e+000
4.611981256606642e-003	1.843667e+000	1.123862e+000
4.621746881606642e-003	1.787302e+000	1.068939e+000
4.631512506606642e-003	1.723435e+000	1.006787e+000
4.641278131606642e-003	1.652674e+000	9.380413e-001
4.651043756606642e-003	1.575694e+000	8.634098e-001
4.660809381606641e-003	1.493227e+000	7.836728e-001
4.680340631606641e-003	1.315025e+000	6.123559e-001
4.709637506606640e-003	1.027511e+000	3.410018e-001
4.719403131606640e-003	9.299160e-001	2.518061e-001
4.729168756606640e-003	8.329886e-001	1.666912e-001
4.738934381606640e-003	7.376526e-001	9.067039e-002
4.748700006606640e-003	6.448166e-001	3.470667e-002
4.758465631606639e-003	5.553652e-001	7.317262e-003
4.768231256606639e-003	4.701508e-001	5.298347e-004
4.777996881606639e-003	3.899854e-001	2.135366e-005
4.787762506606639e-003	3.156329e-001	9.867573e-007
4.797528131606639e-003	2.478019e-001	5.748212e-008
4.807293756606638e-003	1.871388e-001	4.425738e-009
4.817059381606638e-003	1.342215e-001	5.650673e-010
4.826825006606638e-003	8.955432e-002	1.510911e-010
4.836590631606638e-003	5.356297e-002	6.691402e-011
4.846356256606637e-003	2.659037e-002	3.146765e-011
4.856121881606637e-003	8.893549e-003	1.183194e-011
4.865887506606637e-003	6.411477e-004	3.097097e-012
4.875653131606637e-003	1.911804e-003	4.428771e-012
4.885418756606637e-003	1.269341e-002	1.591867e-011
4.895184381606636e-003	3.288322e-002	3.890280e-011
4.904950006606636e-003	6.228885e-002	8.129884e-011
4.914715631606636e-003	1.006301e-001	1.994440e-010
4.924481256606636e-003	1.475416e-001	9.084440e-010
4.934246881606636e-003	2.025763e-001	8.328717e-009
4.944012506606635e-003	2.652098e-001	1.193360e-007
4.953778131606635e-003	3.348452e-001	2.192821e-006
4.963543756606635e-003	4.108190e-001	5.006010e-005
4.973309381606635e-003	4.924072e-001	1.197341e-003
4.983075006606635e-003	5.788323e-001	1.192667e-002
4.992840631606634e-003	6.692708e-001	4.698262e-002
5.002606256606634e-003	7.628609e-001	1.095534e-001
5.012371881606634e-003	8.587107e-001	1.888218e-001
5.022137506606634e-003	9.559069e-001	2.753255e-001
5.061200006606633e-003	1.339625e+000	6.358987e-001
5.080731256606632e-003	1.515705e+000	8.053798e-001
5.090496881606632e-003	1.596783e+000	8.838369e-001
5.100262506606632e-003	1.672175e+000	9.569732e-001
5.110028131606632e-003	1.741161e+000	1.024028e+000
5.119793756606632e-003	1.803085e+000	1.084311e+000
5.129559381606631e-003	1.857356e+000	1.137210e+000
5.139325006606631e-003	1.903458e+000	1.182190e+000
5.149090631606631e-003	1.940949e+000	1.218797e+000
5.158856256606631e-003	1.969475e+000	1.246665e+000
5.168621881606631e-003	1.988762e+000	1.265514e+000
5.178387506606630e-003	1.998627e+000	1.275158e+000
5.188153131606630e-003	1.998976e+000	1.275499e+000
5.197918756606630e-003	1.989806e+000	1.266535e+000
5.207684381606630e-003	1.971204e+000	1.248354e+000
5.217450006606630e-003	1.943346e+000	1.221138e+000
5.227215631606629e-003	1.906500e+000	1.185160e+000
5.236981256606629e-003	1.861015e+000	1.140779e+000
5.246746881606629e-003	1.807326e+000	1.088443e+000
5.256512506606629e-003	1.745943e+000	1.028680e+000
5.266278131606629e-003	1.677453e+000	9.620996e-001
5.276043756606628e-003	1.602506e+000	8.893842e-001
5.285809381606628e-003	1.521819e+000	8.112902e-001
5.295575006606628e-003	1.436158e+000	7.286443e-001
5.315106256606627e-003	1.253225e+000	5.533631e-001
5.344403131606627e-003	9.630522e-001	2.818136e-001
5.354168756606627e-003	8.657937e-001	1.949641e-001
5.363934381606626e-003	7.698141e-001	1.149687e-001
5.373700006606626e-003	6.760280e-001	5.071878e-002
5.383465631606626e-003	5.853290e-001	1.348773e-002
5.393231256606626e-003	4.985815e-001	1.482211e-003
5.402996881606626e-003	4.166121e-001	6.336442e-005
5.412762506606625e-003	3.402020e-001	2.738359e-006
5.422528131606625e-003	2.700791e-001	1.465834e-007
5.432293756606625e-003	2.069118e-001	1.008778e-008
5.442059381606625e-003	1.513019e-001	1.055498e-009
5.451825006606625e-003	1.037795e-001	2.181059e-010
5.461590631606624e-003	6.479724e-002	8.606089e-011
5.471356256606624e-003	3.472672e-002	4.118315e-011
5.481121881606624e-003	1.385444e-002	1.718702e-011
5.490887506606624e-003	2.379305e-003	4.921877e-012
5.500653131606624e-003	4.106662e-004	2.854931e-012
5.510418756606623e-003	7.967280e-003	1.083739e-011
