time	V(n001)	V(n002)	V(n003)
2.299720371639006e-003	1.552729e-001	1.180623e+000	4.956139e-001
2.309485996639005e-003	1.071153e-001	1.179169e+000	4.954325e-001
2.319251621639005e-003	6.746621e-002	1.177730e+000	4.952369e-001
2.329017246639005e-003	3.670338e-002	1.176305e+000	4.950282e-001
2.338782871639005e-003	1.511997e-002	1.174895e+000	4.948072e-001
2.348548496639004e-003	2.921637e-003	1.173498e+000	4.945748e-001
2.358314121639004e-003	2.246335e-004	1.172113e+000	4.943316e-001
2.368079746639004e-003	7.054656e-003	1.170739e+000	4.940785e-001
2.377845371639004e-003	2.334662e-002	1.169377e+000	4.938159e-001
2.387610996639004e-003	4.894527e-002	1.168025e+000	4.935446e-001
2.397376621639003e-003	8.360669e-002	1.166682e+000	4.932649e-001
2.407142246639003e-003	1.270006e-001	1.165350e+000	4.929775e-001
2.416907871639003e-003	1.787134e-001	1.164026e+000	4.926828e-001
2.426673496639003e-003	2.382524e-001	1.162710e+000	4.923810e-001
2.436439121639003e-003	3.050503e-001	1.161403e+000	4.920728e-001
2.446204746639002e-003	3.784704e-001	1.160104e+000	4.917584e-001
2.455970371639002e-003	4.578132e-001	1.158812e+000	4.914381e-001
2.465735996639002e-003	5.423225e-001	1.157526e+000	4.911123e-001
2.475501621639002e-003	6.311932e-001	1.156248e+000	4.907812e-001
2.495032871639001e-003	8.185974e-001	1.153712e+000	4.901044e-001
2.524329746639001e-003	1.110331e+000	1.149951e+000	4.890561e-001
2.553626621639000e-003	1.392663e+000	1.146239e+000	4.879731e-001
2.563392246639000e-003	1.480462e+000	1.145012e+000	4.876052e-001
2.573157871639000e-003	1.563683e+000	1.143790e+000	4.872342e-001
2.582923496638999e-003	1.641532e+000	1.142572e+000	4.868601e-001
2.592689121638999e-003	1.713268e+000	1.141366e+000	4.864832e-001
2.602454746638999e-003	1.778207e+000	1.140238e+000	4.861037e-001
2.612220371638999e-003	1.835731e+000	1.139627e+000	4.857227e-001
2.621985996638999e-003	1.885291e+000	1.141264e+000	4.853458e-001
2.631751621638998e-003	1.926414e+000	1.148406e+000	4.849937e-001
2.641517246638998e-003	1.958710e+000	1.162961e+000	4.847271e-001
2.651282871638998e-003	1.981870e+000	1.182195e+000	4.846796e-001
2.661048496638998e-003	1.995674e+000	1.200593e+000	4.850459e-001
2.670814121638998e-003	1.999989e+000	1.214301e+000	4.859711e-001
2.680528155122929e-003	1.994829e+000	1.222353e+000	4.874048e-001
2.690293780122928e-003	1.980186e+000	1.225664e+000	4.891227e-001
2.700059405122928e-003	1.956202e+000	1.225686e+000	4.908316e-001
2.709825030122928e-003	1.923107e+000	1.223911e+000	4.923471e-001
2.719590655122928e-003	1.881215e+000	1.221437e+000	4.936124e-001
2.729356280122928e-003	1.830927e+000	1.218847e+000	4.946457e-001
2.739121905122927e-003	1.772720e+000	1.216356e+000	4.954868e-001
2.748887530122927e-003	1.707150e+000	1.214001e+000	4.961732e-001
2.758653155122927e-003	1.634841e+000	1.211772e+000	4.967338e-001
2.768418780122927e-003	1.556482e+000	1.209647e+000	4.971907e-001
2.778184405122927e-003	1.472821e+000	1.207612e+000	4.975604e-001
2.787950030122926e-003	1.384655e+000	1.205652e+000	4.978560e-001
2.797715655122926e-003	1.292822e+000	1.203757e+000	4.980878e-001
2.807481280122926e-003	1.198200e+000	1.201920e+000	4.982642e-001
2.817246905122926e-003	1.101689e+000	1.200132e+000	4.983919e-001
2.827012530122925e-003	1.004209e+000	1.198390e+000	4.984766e-001
2.836778155122925e-003	9.066883e-001	1.196687e+000	4.985231e-001
2.846543780122925e-003	8.100572e-001	1.195020e+000	4.985353e-001
2.856309405122925e-003	7.152361e-001	1.193385e+000	4.985168e-001
2.866075030122925e-003	6.231285e-001	1.191780e+000	4.984704e-001
2.875840655122924e-003	5.346122e-001	1.190202e+000	4.983988e-001
2.885606280122924e-003	4.505307e-001	1.188649e+000	4.983041e-001
2.895371905122924e-003	3.716852e-001	1.187118e+000	4.981883e-001
2.905137530122924e-003	2.988270e-001	1.185608e+000	4.980532e-001
2.914903155122924e-003	2.326503e-001	1.184118e+000	4.979003e-001
2.924668780122923e-003	1.737859e-001	1.182645e+000	4.977310e-001
2.934434405122923e-003	1.227946e-001	1.181189e+000	4.975464e-001
2.944200030122923e-003	8.016236e-002	1.179749e+000	4.973478e-001
2.953965655122923e-003	4.629539e-002	1.178324e+000	4.971360e-001
2.963731280122923e-003	2.151643e-002	1.176913e+000	4.969121e-001
2.973496905122922e-003	6.061607e-003	1.175514e+000	4.966767e-001
2.983262530122922e-003	7.818534e-005	1.174128e+000	4.964308e-001
2.993028155122922e-003	3.623185e-003	1.172753e+000	4.961748e-001
3.002793780122922e-003	1.666283e-002	1.171390e+000	4.959096e-001
3.012559405122922e-003	3.907285e-002	1.170036e+000	4.956355e-001
3.022325030122921e-003	7.063971e-002	1.168693e+000	4.953532e-001
3.032090655122921e-003	1.110626e-001	1.167359e+000	4.950632e-001
3.041856280122921e-003	1.599563e-001	1.166033e+000	4.947658e-001
3.051621905122921e-003	2.168550e-001	1.164716e+000	4.944616e-001
3.061387530122920e-003	2.812163e-001	1.163408e+000	4.941508e-001
3.071153155122920e-003	3.524271e-001	1.162107e+000	4.938339e-001
3.080918780122920e-003	4.298087e-001	1.160813e+000	4.935111e-001
3.090684405122920e-003	5.126237e-001	1.159527e+000	4.931829e-001
